saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,tipo_movimentacao,tipo_deficiencia,salario_mensal,indicador_aprendiz
-1,101,8,27,9.0,6,3,31,0,1850.0,0
-1,101,6,22,45.0,3,1,31,0,1320.0,0
-1,101,8,37,40.0,1,1,31,0,9164.1,0
-1,101,7,37,30.0,1,1,31,0,1989.4,0
-1,101,7,32,45.0,6,1,32,0,1885.62,0
-1,101,7,40,44.0,6,1,40,0,2725.0,0
1,105,9,41,16.0,3,1,97,0,3362.63,0
1,101,6,18,44.0,6,1,97,0,1320.0,0
1,101,9,55,36.0,3,1,97,0,0.0,0
1,101,8,28,44.0,3,3,97,0,1302.0,0
1,101,7,35,40.0,3,1,97,0,1349.27,0
1,101,4,51,44.0,3,1,97,0,1320.0,0
1,101,9,29,44.0,3,3,97,0,1400.0,0
1,101,5,25,45.0,3,1,97,0,1885.62,0
1,101,2,60,44.0,6,1,97,0,1885.62,0
1,101,7,33,44.0,6,3,97,0,0.0,0
-1,101,5,46,44.0,3,1,31,0,1507.0,0
1,101,7,42,44.0,6,1,97,0,1302.0,0
-1,101,7,21,44.0,6,1,31,0,1302.0,0
-1,101,7,22,44.0,3,3,31,0,1320.0,0
-1,101,6,25,44.0,2,1,31,0,2000.0,0
-1,101,7,29,44.0,3,1,31,0,1521.31,0
-1,101,7,46,44.0,3,1,31,0,1834.7,0
-1,101,7,24,44.0,6,1,40,0,1302.0,0
-1,101,7,38,44.0,3,1,40,0,1320.0,0
-1,101,7,24,44.0,3,3,40,0,1367.58,0
-1,101,7,32,44.0,6,1,40,0,1302.0,0
-1,101,7,26,52.82,6,1,40,0,1845.35,0
-1,101,7,20,44.0,3,3,40,0,1336.11,0
-1,101,7,31,44.0,3,3,43,0,1320.0,0
-1,101,7,37,44.0,3,3,43,0,1336.11,0
-1,101,7,23,44.0,6,1,43,0,1302.0,0
-1,101,7,34,44.0,6,1,43,0,1302.0,0
-1,101,7,28,44.0,3,3,43,0,1529.08,0
1,111,7,28,44.0,6,3,97,0,1335.4,0
1,101,7,26,44.0,3,3,97,0,1336.11,0
